row_id,COUNTRY_CODE,COUNTRY_NAME,screening_tier,signal_count,is_verify,trigger_reason,signal_attention,signal_longstring,signal_mahalanobis,signal_odd_even,veto_any,veto_all_missing,veto_gibberish,attention_number_fail,attention_response_fail,attention_any_fail,ls_max_run,md_score,oe_r,BENEFIT_OPEN,TRUST_OPEN,ATTCHECK_NUMBER,ATTCHECK_RES,DEM_AGE,DEM_GENDER,DEM_EDU,DEM_AGEGRP,COUNTRY_CONT,final_decision,decision,reason
180,ALB,Albania,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,14.0,7.9408116933082935,0.0,"Yes
",NA,213,1,33,0,1,30-39,Europe,,invalid,longstring（straightlining）
186,ALB,Albania,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,22.0,5.992739800567523,,-99,NA,213,1,20,1,3,18-29,Europe,,invalid,longstring（straightlining）
261,ALB,Albania,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,16.0,9.116658789957775,-0.48186942465242666,NA,Shum gjera interesante qe shikojm,213,1,20,0,4,18-29,Europe,,invalid,longstring（straightlining）
267,ALB,Albania,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,33.0,5.992739800567523,,NA,Na cat trapin thnx,213,1,28,0,4,18-29,Europe,,invalid,longstring（straightlining）
313,ALB,Albania,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,13.0,3.0877831935019504,0.7905694150420948,NA,besueshmeria tek nje shkencetar vjen si rrjedhoje e faktimit te asaj qe thote,213,1,23,0,4,18-29,Europe,,invalid,longstring（straightlining）
334,ALB,Albania,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,35.0,6.545388807672866,,"njerzit pasi  i ben te zgjuar dhe kurioz
",NA,213,1,19,1,3,18-29,Europe,,invalid,longstring（straightlining）
351,ALB,Albania,MEDIUM,1,0,mahalanobis_outlier,0,0,1,0,0,0,0,0,0,0,6.0,9.542554770311897,0.7206037585776719,NA,Besimi i shpikjes se tij,213,1,56,1,3,50-59,Europe,,valid,
354,ALB,Albania,MEDIUM,1,0,mahalanobis_outlier,0,0,1,0,0,0,0,0,0,0,3.0,10.313601073523795,-0.2697707921985813,NA,"nuk e di
",213,1,24,1,4,18-29,Europe,,valid,
378,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,16.0,3.4720387180237404,,NA,Calidad,213,1,27,1,4,18-29,Latin America,,invalid,longstring（straightlining）
380,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,16.0,4.886193659635231,,NA,"sus estudios, sus pruebas, sus testeos, ademas de la calidad humana y moral. ",213,1,37,0,4,30-39,Latin America,,invalid,longstring（straightlining）
382,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,15.0,5.229416404316703,,hola creo que la gente se beneficia por la ciencia y fue un gran avance por ej la vacuna del covid ,NA,213,1,48,0,4,40-49,Latin America,,invalid,longstring（straightlining）
387,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,14.0,3.7906856871434043,,NA,"Que pueda justificar el hallazgo de sus investigaciones, mostrando el cómo llegó a ese resultado. ",213,1,41,0,4,40-49,Latin America,,invalid,longstring（straightlining）
388,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,14.0,4.492529015959976,-0.4629100498862757,NA,"Porque son los recolectan evidencias de muchas maneras diferentes, y sea lo que sea lo tiene que llevar a la comprobación.",213,1,39,0,4,30-39,Latin America,,invalid,longstring（straightlining）
391,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,15.0,3.4941251891509584,,"Creo que sí todos tuviéramos acceso a los conocimientos científicos, todos podríamos beneficiarnos. Hoy por hoy la gente común no tiene interés en la ciencia por la falta de información durante muchos años, se les da más entidad a los chismes que a la ciencia y sus beneficios ...  Por eso creo que la gente con más recursos se beneficia más.
",NA,213,1,35,2,3,30-39,Latin America,,invalid,longstring（straightlining）
394,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,15.0,6.063977722232292,0.24571804673358047,NA,investiga con los pocos recursos que tiene ,213,1,38,1,4,30-39,Latin America,,invalid,longstring（straightlining）
398,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,15.0,5.031272135135223,0.502139504851751,NA,La honestidad y que sea claro al decir las cosas que podamos entender lo que dice,213,1,35,0,3,30-39,Latin America,,invalid,longstring（straightlining）
403,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,15.0,4.772146501420034,,NA,Que demuestre lo que hace con evidencia científica,213,1,35,0,4,30-39,Latin America,,invalid,longstring（straightlining）
404,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,15.0,4.561933052204035,-0.34299717028501764,Todos nos beneficiamos con los avances de la ciencia dado que sus descubrimientos tienen impacto en la sociedad,NA,213,1,27,0,4,18-29,Latin America,,invalid,longstring（straightlining）
409,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,14.0,3.870292727504177,,todos nos beneficiamos de la ciencia de unau otra manera,NA,213,1,39,0,4,30-39,Latin America,,invalid,longstring（straightlining）
415,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,13.0,5.991598981173468,0.21821789023599236,"Creo que todos nos beneficiamos de la ciencia. Cada avance y/o descubrimiento es importante y suma, no importa que tan chico sea. Por las aplicaciones de noticias que tengo en el teléfono (CNN en este caso), la mayoría de noticias relacionadas con la ciencia que me llegan son de nuevos estudios médicos para ciertas enfermedades o posibles medicamentos y tratamientos para éstas. También me llegan alertas de cuando se publican estudios que encuentran algún elemento o ingrediente en algo de consumo masivo que puede causar efectos negativos en la salud. Éstas pruebas constantes que se hacen a las que no se le presta mucha atención en la población, creo yo son una de las partes más importantes de la ciencia y de las más beneficiosas.",NA,213,1,24,0,3,18-29,Latin America,,invalid,longstring（straightlining）
416,ARG,Argentina,MEDIUM,1,0,longstring_exceed,0,1,0,0,0,0,0,0,0,0,13.0,5.056171691786693,0.21821789023599236,Creo que a nivel sociedad nos beneficiamos con la ciencia ya que gracias a ella podemos descubrir y romper mitos,NA,213,1,25,0,4,18-29,Latin America,,invalid,longstring（straightlining）
