row_id,country,trigger,ls,benefit,trust,b_len,t_len,total_len,b_gib,t_gib,decision,reason
10254,CAN,longstring_exceed;odd_even_low,16.0,I think the general population and mankind as a whole,NA,53,0,53,False,False,valid1,"BENEFIT有内容(53字), TRUST空"
10309,CAN,longstring_exceed;odd_even_low,15.0,NA,One is the educationa nd research that the scientists does,0,58,58,False,False,valid1,"TRUST有内容(58字), BENEFIT空"
10372,CHE,longstring_exceed;mahalanobis_outlier,16.0,"Wissenschaft ist zu einem Metawesen ""verkümmert"", das jeder zitieren und beliebig missbrauchen kann, um seine Position zu rechtfertigen. Z.B.:""Wissenhaftler sagen, dass etc. etc."" oder Wissenschaft ha",NA,403,0,403,False,False,valid1,"BENEFIT有内容(403字), TRUST空"
10572,CHE,longstring_exceed;odd_even_low,14.0,l'humanité en général ,NA,21,0,21,False,False,valid1,"BENEFIT有内容(21字), TRUST空"
11406,CHL,longstring_exceed;odd_even_low,16.0,NA,"Un científico confiable es quien protege a los seres humanos
Científicos confiables son los qe no son sobornados para hacer virus para aniquilar a las poblaciones a nivel mundial
Cientificos confiable",0,290,290,False,False,valid1,"TRUST有内容(290字), BENEFIT空"
11520,CHL,longstring_exceed;mahalanobis_outlier,13.0,"La ciencias es importante para el desarrollo de vacunas, técnicas medicas y soluciones en la medicina y muchas enfermedades para salvar vidas",NA,141,0,141,False,False,valid1,"BENEFIT有内容(141字), TRUST空"
11575,CHL,longstring_exceed;mahalanobis_outlier,17.0,NA,Einstein,0,8,8,False,False,valid1,TRUST有基本内容(8字)
11689,CHL,longstring_exceed;mahalanobis_outlier,16.0,En mi opinión los que más se benefician de la ciencia es todo el público en general porque relativamente todo lo que nos rodea implica ciencia aunque no lo veamos todo a nuestro alrededor es ciencia ,NA,198,0,198,False,False,valid1,"BENEFIT有内容(198字), TRUST空"
11752,CHL,longstring_exceed;odd_even_low,16.0,"los que más se benefician de la ciencia son los niños, ya que aprenden cosas nuevas, ayuda a desarrollar su inteligencia y su curiosidad, el buscar el porqué de las cosas y no conformarse con lo que l",NA,217,0,217,False,False,valid1,"BENEFIT有内容(217字), TRUST空"
12856,CHN,longstring_exceed;mahalanobis_outlier,14.0,越晚出生的人，越晚出生的人能够更好的享受科学带来的福利,NA,27,0,27,False,False,valid1,"BENEFIT有内容(27字), TRUST空"
13454,COL,longstring_exceed;odd_even_low,14.0,Los m?s adinerados por quï¿½ï¿½ï¿½ï¿,NA,36,0,36,False,False,valid1,"BENEFIT有内容(36字), TRUST空"
13472,COL,longstring_exceed;mahalanobis_outlier,16.0,La humanidad entera,NA,19,0,19,False,False,valid1,"BENEFIT有内容(19字), TRUST空"
13711,CRI,longstring_exceed;mahalanobis_outlier,15.0,NA,que la información que comente la verifique o evidencie con los artículos de investigación que utilizó para el tema,0,115,115,False,False,valid1,"TRUST有内容(115字), BENEFIT空"
13987,CRI,longstring_exceed;mahalanobis_outlier,15.0,NA,Sus investigaciones y conclusiones sobre el tema en específico.,0,63,63,False,False,valid1,"TRUST有内容(63字), BENEFIT空"
14017,CRI,longstring_exceed;mahalanobis_outlier,13.0,NA,Sida,0,4,4,False,False,invalid,"内容极短(B=0, T=4)"
14107,CZE,longstring_exceed;mahalanobis_outlier,13.0,NA,"odborné znalosti, vysoké IQ, skromnost, pokora, cílevědomost, věrohodnost, pracovotost houževnatost, píle, soudnost, logické myšlení, ctižádost, trpělivost",0,155,155,False,False,valid1,"TRUST有内容(155字), BENEFIT空"
15035,DNK,longstring_exceed;mahalanobis_outlier,22.0,-99,NA,0,0,0,False,False,invalid,两题都空
15623,DNK,longstring_exceed;mahalanobis_outlier,19.0,opdager nye ting,NA,16,0,16,False,False,valid1,"BENEFIT有内容(16字), TRUST空"
15782,DNK,longstring_exceed;odd_even_low,17.0,Det har vi vel allesammen,NA,25,0,25,False,False,valid1,"BENEFIT有内容(25字), TRUST空"
16657,ETH,longstring_exceed;mahalanobis_outlier,14.0,"I think everyone bcause science help us improve thing's in our live and it modernates us so i think everyone benefits from science 
",NA,130,0,130,False,False,valid1,"BENEFIT有内容(130字), TRUST空"
16799,ITA,longstring_exceed;odd_even_low,15.0,"chi ha bisogno di cure, cioè tutti.
Il sistema generale.",NA,56,0,56,False,False,valid1,"BENEFIT有内容(56字), TRUST空"
17729,ITA,longstring_exceed;odd_even_low,16.0,NA,è una persona che si dedica con passione a risolvere i problemi della ricerca e cheli esprime in modo intellegibile a chi non è avvezzo ai termini  scientifici,0,159,159,False,False,valid1,"TRUST有内容(159字), BENEFIT空"
17938,BEL,longstring_exceed;mahalanobis_outlier,15.0,LA SCIENCE BÉNÉFICIE À TOUS LES HOMMES POUR NOUS PERMETTRE DE FAIRE ÉVOLUER EN MIEUX NOS MODES DE VIE...EN MEDECINE POUR LA RECHERCHE MÉDICALE MAIS AUSSI POUR MIEUX COMPRENDRE NOTRE IMPACT CLIMATIQUE ,NA,274,0,274,False,False,valid1,"BENEFIT有内容(274字), TRUST空"
18208,ITA,longstring_exceed;mahalanobis_outlier,15.0,Permette di aiutare a vivere.,NA,29,0,29,False,False,valid1,"BENEFIT有内容(29字), TRUST空"
1884,AUS,longstring_exceed;mahalanobis_outlier,14.0,NA,"Long time proof and consistency 
",0,31,31,False,False,valid1,"TRUST有内容(31字), BENEFIT空"
18863,ITA,longstring_exceed;mahalanobis_outlier,13.0,"L'EVOLUZIONE UMA, SENZA I PROGRESSI DELLA SCIENZA SAREMMO ANCORA ALL'EPOCA DELLE CAVERNE.",NA,89,0,89,False,False,valid1,"BENEFIT有内容(89字), TRUST空"
18935,BEL,longstring_exceed;odd_even_low,13.0,Iedereen ,NA,8,0,8,False,False,valid1,BENEFIT有基本内容(8字)
19085,DEU,longstring_exceed;odd_even_low,15.0,NA,Aussage basieren auf empirischen Daten.,0,39,39,False,False,valid1,"TRUST有内容(39字), BENEFIT空"
