ID=1506 优先级=高 信号=DKNA+DUR低 DURz=-1.14 有效=0 P11=Neither agree nor disagree Agree Agree Neither agree nor disagree Disagree | P07=  | P10=0 | P12=  | P16= 
ID=4111 优先级=高 信号=MD+长答+LS DURz=1.14 有效=2 P11=Disagree Disagree Strongly disagree Strongly disagree Disagree | P07=UN FAMILIAR | P10=LE DA IGUAL NINGUNA | P12=  | P16= 
ID=4123 优先级=高 信号=MD+长答+LS DURz=1.09 有效=1 P11=Strongly agree Agree Strongly agree Strongly agree Disagree | P07=1, 5, 6 | P10=VIOLENCIA DE GENERO, IGUALDAD ENTRE HOMBRES Y MUJERES EN SALARIOS, Y EN TODO EN GENERAL | P12=  | P16=7, 10
ID=8952 优先级=高 信号=DUR低+长答+LS DURz=-1.38 有效=0 P11=Disagree Agree Agree Agree Agree | P07=  | P10=88 | P12=  | P16= 
ID=9013 优先级=高 信号=DUR低+长答+LS DURz=-0.94 有效=3 P11=Strongly disagree Strongly agree Strongly agree Strongly agree Strongly agree | P07=TWITTER | P10=99 | P12=MANIFESTARME | P16=VIOLACIONES
ID=12383 优先级=高 信号=DUR低+长答+LS DURz=-0.95 有效=1 P11=Disagree Agree Agree Strongly agree Strongly agree | P07=2 | P10=PODER LLEGAR A LA IGUALDAD EN LA MORAL DE CADA PERSONA | P12=88 | P16= 
ID=12413 优先级=高 信号=DUR低+长答+LS DURz=-1.17 有效=1 P11=Agree Agree Agree Agree Disagree | P07=2 | P10=BRECHA SALARIAL, VIOLENCIA MACHISTA | P12=  | P16= 
ID=12614 优先级=高 信号=DKNA+MD+LS DURz=0.36 有效=2 P11=Disagree Agree Disagree Disagree Agree | P07=CARTELES , EN EL METRO | P10=TODAS | P12=  | P16=10
ID=18511 优先级=高 信号=DUR低+长答+LS DURz=-0.88 有效=2 P11=Strongly agree Strongly disagree Strongly disagree Strongly disagree Strongly disagree | P07=ESRADIO , ABC, TWITTER | P10=NADA, CUSTODIA COMPARTIDA | P12=  | P16= 
ID=33086 优先级=高 信号=MD+DUR低 DURz=-0.77 有效=1 P11=Agree Agree Strongly disagree Agree Strongly disagree | P07=COPE | P10=0 | P12=  | P16= 
ID=42547 优先级=高 信号=MD+DUR高 DURz=2.10 有效=2 P11=Strongly agree Disagree Disagree Agree Strongly disagree | P07=TELEVISION | P10=ERRADICAR LA VIOLENCIA, RECONOCER LAS LABORES Y EL CUIDADO A NO | P12=  | P16= 
ID=16 优先级=常规 信号=DUR低 DURz=-1.42 有效=0 P11=Strongly agree Strongly agree Disagree Strongly disagree Strongly disagree | P07=  | P10=88 | P12=  | P16= 
ID=191 优先级=常规 信号=长答+LS DURz=1.63 有效=2 P11=Disagree Agree Agree Disagree Strongly disagree | P07=ABC DIGITAL, 13 TV, INTERECONOMIA TV | P10=NINGUNA | P12=  | P16= 
ID=765 优先级=常规 信号=MD DURz=1.50 有效=0 P11=Disagree Strongly agree Agree Strongly disagree Agree | P07=1 | P10=0 | P12=  | P16= 
ID=1417 优先级=常规 信号=DKNA DURz=0.94 有效=0 P11=Strongly agree Agree Strongly agree Strongly agree Strongly agree | P07=1 | P10=88 | P12=  | P16= 
ID=1529 优先级=常规 信号=DKNA DURz=-0.26 有效=0 P11=DK DK Neither agree nor disagree Agree DK | P07=  | P10=88 | P12=  | P16= 
ID=1626 优先级=常规 信号=长答+LS DURz=0.23 有效=1 P11=Disagree Agree Agree Agree Strongly agree | P07=3, 4 | P10=TODAS EN GENERAL | P12=1 | P16= 
ID=2080 优先级=常规 信号=长答+LS DURz=0.45 有效=1 P11=Disagree Agree Agree Agree Disagree | P07=DIGITAL, , , 2 | P10=88 | P12=  | P16= 
ID=2240 优先级=常规 信号=MD DURz=2.18 有效=1 P11=Strongly agree Strongly disagree Agree Strongly disagree Strongly disagree | P07=1, 5, 6 | P10=MALTRATO, DESIGUALDAD LABORAL | P12=  | P16= 
ID=2368 优先级=常规 信号=DUR低 DURz=-1.14 有效=0 P11=Disagree Disagree Disagree Agree Disagree | P07=  | P10=88 | P12=  | P16= 
ID=2409 优先级=常规 信号=DKNA DURz=0.11 有效=1 P11=Disagree Strongly agree Strongly agree Agree Agree | P07=1, 2 | P10=VIOLENCIA MACHISTA | P12=88 | P16= 
ID=2491 优先级=常规 信号=DKNA+LS DURz=0.08 有效=1 P11=Disagree Agree Agree Agree Agree | P07=5 | P10=IGUALDAD | P12=  | P16= 
ID=2534 优先级=常规 信号=长答+LS DURz=0.06 有效=1 P11=Strongly disagree Strongly agree Strongly agree Strongly agree Strongly agree | P07=1, 2, 3 | P10=TODO EN GENERAL | P12=1, 9, 10 | P16=2
ID=3234 优先级=常规 信号=长答+LS DURz=1.50 有效=1 P11=Strongly disagree Strongly agree Agree Strongly agree Agree | P07=1, 5, 6 | P10=IGUALDAD EN GENERAL | P12=1 | P16=9
ID=3412 优先级=常规 信号=DUR低+LS DURz=-1.06 有效=0 P11=Agree Disagree Disagree Disagree Disagree | P07=  | P10=0 | P12=  | P16= 
ID=3651 优先级=常规 信号=DUR低 DURz=-0.74 有效=0 P11=Agree Strongly agree Disagree Disagree Disagree | P07=  | P10=88 | P12=  | P16= 
ID=4097 优先级=常规 信号=MD DURz=1.98 有效=1 P11=Strongly agree Agree Disagree Strongly agree Strongly agree | P07=2, 5, 7 | P10=IGUALDAD | P12=  | P16= 
ID=4310 优先级=常规 信号=DUR低+LS DURz=-0.78 有效=0 P11=Disagree Agree Agree Strongly agree Strongly agree | P07=2 | P10=99 | P12=1 | P16= 
ID=4691 优先级=常规 信号=MD DURz=0.66 有效=1 P11=Strongly disagree Strongly disagree Strongly agree Agree Disagree | P07=1, 5, 6 | P10=TODAS SON IMPORTANTES | P12=  | P16= 
ID=4937 优先级=常规 信号=DKNA DURz=0.18 有效=0 P11=DK Strongly disagree Strongly agree DK Agree | P07=  | P10=88 | P12=  | P16= 
ID=4982 优先级=常规 信号=DUR低 DURz=-1.14 有效=0 P11=Agree Agree Agree Agree Disagree | P07=  | P10=0 | P12=  | P16= 
ID=5089 优先级=常规 信号=DKNA DURz=1.05 有效=0 P11=Agree Strongly agree Strongly agree DK DK | P07=  | P10=88 | P12=  | P16= 
ID=5326 优先级=常规 信号=DUR低+LS DURz=-0.74 有效=1 P11=Agree Strongly agree Strongly agree Agree Disagree | P07=1 | P10=TODAS SON IMPORTANTES | P12=  | P16= 
ID=5358 优先级=常规 信号=DKNA+LS DURz=0.06 有效=1 P11=Strongly agree Agree Agree Agree Agree | P07=1 | P10=TODAS EN GENERAL | P12=88 | P16= 
ID=5455 优先级=常规 信号=长答+LS DURz=-0.34 有效=0 P11=Disagree Agree Agree Agree Agree | P07=  | P10=88 | P12=  | P16= 
ID=5973 优先级=常规 信号=长答+LS DURz=0.01 有效=0 P11=Disagree Agree Agree Agree Disagree | P07=1 | P10=0 | P12=  | P16= 
ID=6006 优先级=常规 信号=DUR低 DURz=-0.85 有效=0 P11=Agree Strongly agree Strongly agree Strongly agree Agree | P07=  | P10=0 | P12=1 | P16=3
ID=6023 优先级=常规 信号=MD DURz=-0.61 有效=1 P11=Strongly agree Strongly agree Disagree Strongly agree Strongly agree | P07=2, 3 | P10=TODAS EN GENERAL | P12=1 | P16= 
ID=6163 优先级=常规 信号=DKNA DURz=0.64 有效=0 P11=DK Disagree Agree nan nan | P07=  | P10=88 | P12=  | P16= 
ID=6222 优先级=常规 信号=长答+LS DURz=0.98 有效=0 P11=DK DK Agree Disagree Disagree | P07=1, 6 | P10=0 | P12=  | P16= 
ID=6419 优先级=常规 信号=MD DURz=-0.26 有效=1 P11=Strongly disagree Disagree Disagree Agree Strongly disagree | P07=2 | P10=TODAS EN GENERAL | P12=  | P16= 
ID=6628 优先级=常规 信号=DUR低 DURz=-0.85 有效=0 P11=Agree Agree Agree Agree Strongly disagree | P07=6 | P10=88 | P12=  | P16= 
ID=6652 优先级=常规 信号=DUR低 DURz=-0.88 有效=0 P11=Disagree Agree Disagree Disagree Strongly disagree | P07=  | P10=0 | P12=  | P16= 
ID=6791 优先级=常规 信号=DUR低 DURz=-1.14 有效=0 P11=Neither agree nor disagree Agree Agree Disagree Disagree | P07=  | P10=88 | P12=  | P16= 
ID=6967 优先级=常规 信号=长答+LS DURz=0.32 有效=3 P11=Strongly disagree Strongly agree Strongly agree Strongly agree Strongly agree | P07=COLEGIOS, , , 1, 2, 6 | P10=LE PARECEN TODAS IMPORTANTES | P12=1 | P16=CONTRA DE LOS COLEGIOS PRIVADOS
ID=7022 优先级=常规 信号=DKNA DURz=0.03 有效=1 P11=Strongly agree Strongly agree Strongly agree Disagree Disagree | P07=1, 6 | P10=IGUALDAD SALARIAL, VIOLENCIA DE GENERO | P12=  | P16=10
ID=7061 优先级=常规 信号=DUR低+LS DURz=-1.02 有效=0 P11=Disagree Agree Agree Agree Disagree | P07=  | P10=88 | P12=  | P16= 
ID=7066 优先级=常规 信号=DUR低 DURz=-0.85 有效=0 P11=Strongly agree Agree Agree Disagree Strongly disagree | P07=  | P10=0 | P12=  | P16=10
ID=7300 优先级=常规 信号=MD+LS DURz=-0.20 有效=0 P11=Strongly agree Agree Strongly disagree Agree Strongly disagree | P07=6 | P10=0 | P12=  | P16= 
ID=7468 优先级=常规 信号=DUR高 DURz=2.85 有效=1 P11=Agree Agree Agree Disagree Disagree | P07=9 | P10=IGUALDAD EN EL SALARIO, IGUALDAD EN GENERAL | P12=  | P16=10
