row_id,COUNTRY_CODE,BENEFIT_OPEN,TRUST_OPEN,auto_decision,auto_reason
38552,PRT,"a humanidade, pois a ciência descobre a cura para muitas doenças",a sua dedicação ao trabalho,valid,
38555,PRT,Todos nós pois a ciência nunca beneficia só uma pessoa ,A exposição com fatos do seu trabalho ,valid,
38557,PRT,Somos todos nós porque a ciência contribui para o desenvolvimento de tudo,A sua sabedoria ,valid,
38573,PRT,Todos beneficiam,O seu percurso profissional e as descobertas ,valid,
38574,PRT,"Nós os nossos filhos, pais, todos beneficiamos com isso","Testes, eficacia",valid,
38594,PRT,As grandes cooperatives e laboratories que ocultam a verdade para ter lucro,Não estar agregado a instituicoes publicas. ,valid,
38617,PRT,"Nós os seres humanos, os animais etc.  É preciso dos que todos colaborem pra termos algo novo",N faço ideia,valid,
38629,PRT,"as pessoas, para o bem publico",o resultado do trabalho dele,valid,
38638,PRT,a medicina,não sei,valid,
38640,PRT,Penso que são os doentes e a população em geral uma vez que os cientistas tentam encontrar vacinas e outros para as patologias e os problemas ambientais.,Se conseguir mostrar que as suas pesquisas são fiáveis.,valid,
38642,PRT,As empresas pelos progressos que lhes dão ,Ter vários estudos e vários trabalhos reconhecidos,valid,
38643,PRT,Todos. Contributo para melhor qualidade de vida.,dedicação e profissionalismo,valid,
38645,PRT,Todos,Experiencia,valid,
38648,PRT,"No fundo acabamos todos por beneficiar, uma vez que se trabalha para um fim comum.",...,valid,
38649,PRT,As geracoes futuras porque é um trabalho contínuo de pesquisa e melhoramento das condicoes,"São  os fatos, as experiencias e as conclusões certeiras",valid,
38651,PRT,"Todos nós beneficiamos com a ciência, basta saber usa-la para as situações certas",A divulgação do seu trabalho para que outros possam dar a sua opinião,valid,
38652,PRT,O homem,Os resultados obtidos atraves da investigacao,valid,
38656,PRT,Toda a gente. Porque estamos a evoluir enquanto ciência ,Os resultados ,valid,
38660,PRT,"Industria Farmacêutica
",Industria Farmaceutica,valid,
38662,PRT,todo o mundo. a ciencia permite qualidade de vida. contudo convem ser dedicado ao bem estar do que ao ganho somente monetario,tudo,valid,
38671,PRT,todos. vivemos todos neste mundo,que seja para o bem de todos,valid,
38683,PRT,A população mundial pois a ciência permite a evolução e sobrevivência ,Estudos éticos em ambientes controlados ,valid,
38699,PRT,"Todos, desde que bem usado o conhecimento da ciência, se mal pasado... apenas alguns beneficiam e tiram vantagens desse conhecimento ou a ocultação do mesmo ","A isenção, só será confiável se não trabalhar para corporacoes com interesse em certos resultados dos estudos científicos.",valid,
38708,PRT,"acho que os ricos, porque tem dinheiro para investir ","o seu certificado de habilitição e claro, que as suas teorias sejam comprovadas",valid,
38726,PRT,Estado ,Estudos ,valid,
38737,PRT,Sociedade ,Os contributos para a sociedade ,valid,
38752,PRT,"A população em geral, os midia e até as grandes empresas. A ciência ajuda a divulgação  da população em geral.",Saber que a sua opinião e divulgação da propria ciência É TRANSMITIDA e ajuda a população a uma melhor sabedoria.,valid,
38757,PRT,os cientistas e estudantes ,não sei ,valid,
38765,PRT,"Todos nós beneficiamos com a ciência.
Na medida em que possibilita avanços nas mais variadas áreas ",O rigor da investigação que se propõe a fazer ,valid,
38767,PRT,toda a gente porque o próprio conceito é muito abrangente,não sei,valid,
38769,PRT,"Os povos, permite o avanço, o desenvolvimento do conhecimento",Exemplos praticos que combinam com a teoria,valid,
38770,PRT,não sei,ser confiante,valid,
38775,PRT,investigação,clareza,valid,
38779,PRT,"A sociedade. A ciência seja na sua forma de arqueologia, medicina, engenharia, etc.",Os seus pares e publicações.,valid,
38782,PRT,Diversos áreas como tecnologia para ter um mundo mais evoluído ,Um profissional com credibilidade ,valid,
38790,PRT,a industria,a sua experiencia através de pesquisas feitas,valid,
38792,PRT,Mais beneficiados pela ciência serão as empresas e quem use melhor a ferramenta das hipóteses,Saber encontrar e reconhecer as respostas concretas do mundo,valid,
38797,PRT,Todo o mundo.,As suas conquistas.,valid,
38804,PRT,O ser Humano,Aquele que fundamenta a sua teoria baseado em factos,valid,
38807,PRT,Neste momento o mundo empresarial que a explora. ,"O que torna um cientista confiável, são provas dadas ao nível das sua investigação e resultados.",valid,
38822,PRT,Empresas e as pessoas ,a sua aplicação ,valid,
38829,PRT,"Com a ciência toda a humanidade ficara valorizada com o seu avanço, para que seja possível existir melhor qualidade de vida",Cientista confiável trata-se de um indivíduo integro com ideias claras de uma idoneidade impar.,valid,
38832,PRT,"nos, por sermos fieis humanos",a sua experiencia,valid,
38845,PRT,"Toda gente menos o cidadão comum, pois penso que existe muita desinformação a ser divulgada ","Sinceramente não consigo responder, qualquer pessoa ou posto pode ser confiável.",valid,
38864,PRT,todos,resultados,valid,
38867,PRT,Na,N,invalid,单字母
38869,PRT,Todos nós... Na saúde. Na alimentação ,O escrutínio a que está sujeito ,valid,
38871,PRT,Humanidade ,Resultados,valid,
38888,PRT,Toda a gente beneficia porque conhecimento não prejudica muito pelo contrário. Quando estamos mais e melhor informados podemos fazer melhores decisões ,Porque segue o método científico e pode ser comprovada ,valid,
38914,PRT,As grandes corporações ,O seu trabalho ,valid,
38921,PRT,Todos,Estudos publicados,valid,
38922,PRT,Todos nós. No novas descobertas ,Os prêmios ,valid,
38931,PRT,somos todos. Porque através da ciência e da sua evolução temos melhores condições de vida,Os resultados,valid,
38941,PRT,Os grandes grupos económicos porque tudo e negocio  ,humildade da pessoa  ,valid,
38944,PRT,Todos. Porque o conhecimento espalha-se e compartilhá-lo pela comunidade. Sem isso perde o interesse e a sua verdadeira eficácia por ausência de comunicação. ,O que investiga e desenvolve projetos úteis para todos afim de resolver problemas melhorando a nossa qualidade de vida e bem estar.,valid,
38955,PRT,Tudos nos beneficiamos da ciência pois graças a ela podemos desarrollar melhor nosso dia a dia e aprender casi día coisas novas ,Un cientista confiável torna as suas teorias e os experimentos que confirman a mesma ,valid,
38971,PRT,"A sociedade em geral, porque a ciência é a lógica em todas as coisas, trata-se de procurar os porquês e não de aceitar verdades idílicas ou religiosas.","Os resultados do seu estudo, confirmados por uma maioria considerável dos seus pares ",valid,
38977,PRT,"As pessoas doentes, uma vez que avanços na ciência ajudam a descobrir curas por exemplo",Não faço a mínima ideia.,valid,
38979,PRT,A sociedade. Por causa dos avanços transversais a todas as areas,Dados concretos sem quaisquer filiações ,valid,
38987,PRT,"As pessoas, o ganho de conhecimento favorece o nosso bem estar. ","Ser humilde, honesto e transparente ",valid,
38999,PRT,Não ,Honestidade ,valid,
39004,PRT,"com a ciência todos beneficiamos  porque podemos ter acesso a modelos/valores / técnicas/ tecnologias comprovados,... (evolução sustentada) podemos de alguma forma tentar acautelar comportamentos,... os comportamentos racionais deveriam fazer parte inclusa e acompanhar a evolução e o crescimento de alguma forma incutida pela tecnologia  (podemos e devemos no entanto precaver anormalidades/desvios daquilo que supostamente será o equilíbrio, basta olhar para o conflito(guerra) russia-ucrania.",A experiência vs resultados,valid,
39021,PRT,"todos nós
","que os seus estudos sejam certificados e comprovados
",valid,
