column,expected_range,missing_n,nonnumeric_n,out_of_range_n,observed_min,observed_max
ATTCHECK_RES,1-5,2,0,0,1.0,5.0
BENEFIT_ONESELF,1-5,18,0,0,1.0,5.0
BENEFIT_REGION_LEAST,1-6,341,0,0,1.0,6.0
BENEFIT_REGION_MOST,1-6,193,0,0,1.0,6.0
CLIM_EMO_angry,1-5,183,0,0,1.0,5.0
CLIM_EMO_anxious,1-5,537,0,0,1.0,5.0
CLIM_EMO_ashamed,1-5,1244,0,0,1.0,5.0
CLIM_EMO_depressed,1-5,186,0,0,1.0,5.0
CLIM_EMO_guilty,1-5,180,0,0,1.0,5.0
CLIM_EMO_helpless,1-5,172,0,0,1.0,5.0
CLIM_EMO_indifferent,1-5,1228,0,0,1.0,5.0
CLIM_EMO_optimistic,1-5,164,0,0,1.0,5.0
CLIM_EMO_pessimistic,1-5,176,0,0,1.0,5.0
CLIM_GOV_concerns,1-5,54,0,0,1.0,5.0
CLIM_GOV_dismisspeople,1-5,66,0,0,1.0,5.0
CLIM_GOV_doingenough,1-5,63,0,0,1.0,5.0
CLIM_GOV_futuregens,1-5,88,0,0,1.0,5.0
CLIM_GOV_lying,1-5,118,0,0,1.0,5.0
CLIM_GOV_science,1-5,79,0,0,1.0,5.0
CLIM_GOV_trustworthy,1-5,104,0,0,1.0,5.0
CLIM_POLSUPPORT_foodtax,1-4,1638,0,0,1.0,4.0
CLIM_POLSUPPORT_fueltax,1-4,1607,0,0,1.0,4.0
CLIM_POLSUPPORT_protection,1-4,1625,0,0,1.0,4.0
CLIM_POLSUPPORT_publictransport,1-4,1619,0,0,1.0,4.0
CLIM_POLSUPPORT_sustenergy,1-4,1621,0,0,1.0,4.0
CLIM_TRUST,1-5,17,0,0,1.0,5.0
CLIM_WEATHERFUTU_droughts,1-5,3980,0,0,1.0,5.0
CLIM_WEATHERFUTU_floods,1-5,3893,0,0,1.0,5.0
CLIM_WEATHERFUTU_heatwaves,1-5,3928,0,0,1.0,5.0
CLIM_WEATHERFUTU_heavyrain,1-5,3951,0,0,1.0,5.0
CLIM_WEATHERFUTU_heavystorms,1-5,3931,0,0,1.0,5.0
CLIM_WEATHERFUTU_wildfires,1-5,3955,0,0,1.0,5.0
CLIM_WEATHERPAST_droughts,1-5,485,0,0,1.0,5.0
CLIM_WEATHERPAST_floods,1-5,434,0,0,1.0,5.0
CLIM_WEATHERPAST_heatwaves,1-5,462,0,0,1.0,5.0
CLIM_WEATHERPAST_heavyrain,1-5,460,0,0,1.0,5.0
CLIM_WEATHERPAST_heavystorms,1-5,463,0,0,1.0,5.0
CLIM_WEATHERPAST_wildfires,1-5,475,0,0,1.0,5.0
DEM_EDU,1-4,39,0,0,1.0,4.0
DEM_EDU_collbot2,1-4,39,0,0,1.0,3.0
DEM_EDU_collbot3,1-4,39,0,0,1.0,2.0
DEM_EDU_uni,0-1,39,0,0,0.0,1.0
DEM_GENDER,0-2,1311,0,0,0.0,2.0
DEM_GENDER_male,0-1,2198,0,0,0.0,1.0
DEM_POL_conservative,1-5,14858,0,0,1.0,5.0
DEM_POL_right,1-5,16203,0,0,1.0,5.0
DEM_RELIGIOUS,1-5,258,0,0,1.0,5.0
DEM_RESIDENCE,0-1,0,0,0,0.0,1.0
GOALS_PRIO_defense,1-5,130,0,0,1.0,5.0
GOALS_PRIO_energy,1-5,106,0,0,1.0,5.0
GOALS_PRIO_health,1-5,67,0,0,1.0,5.0
GOALS_PRIO_poverty,1-5,107,0,0,1.0,5.0
GOALS_TACKLE_defense,1-5,176,0,0,1.0,5.0
GOALS_TACKLE_energy,1-5,104,0,0,1.0,5.0
GOALS_TACKLE_health,1-5,53,0,0,1.0,5.0
GOALS_TACKLE_poverty,1-5,124,0,0,1.0,5.0
NORMPERC_advocate,1-5,86,0,0,1.0,5.0
NORMPERC_communicate,1-5,603,0,0,1.0,5.0
NORMPERC_independent,1-5,1144,0,0,1.0,5.0
NORMPERC_integrate,1-5,70,0,0,1.0,5.0
NORMPERC_involved,1-5,86,0,0,1.0,5.0
NORMPERC_outreach,1-5,94,0,0,1.0,5.0
OUTSPOKEN_against,1-5,48,0,0,1.0,5.0
OUTSPOKEN_isolate,1-5,40,0,0,1.0,5.0
OUTSPOKEN_othersthink,1-5,40,0,0,1.0,5.0
SCIENGAGE_conversations,1-7,43,0,0,1.0,7.0
SCIENGAGE_messengers,1-7,127,0,0,1.0,7.0
SCIENGAGE_publicprotests,1-7,177,0,0,1.0,7.0
SCIENGAGE_socialmedia,1-7,159,0,0,1.0,7.0
SCIINFO_books,1-7,571,0,0,1.0,7.0
SCIINFO_filmsseries,1-7,459,0,0,1.0,7.0
SCIINFO_messengers,1-7,497,0,0,1.0,7.0
SCIINFO_museumszoos,1-7,511,0,0,1.0,7.0
SCIINFO_newspapersmags,1-7,117,0,0,1.0,7.0
SCIINFO_newswebsitesapps,1-7,837,0,0,1.0,7.0
SCIINFO_rlconversations,1-7,457,0,0,1.0,7.0
SCIINFO_socialmedia,1-7,377,0,0,1.0,7.0
SCIINFO_tvradio,1-7,285,0,0,1.0,7.0
SCIINFO_videospodcasts,1-7,444,0,0,1.0,7.0
SCIPOP_advantage,1-5,57,0,0,1.0,5.0
SCIPOP_cahoots,1-5,59,0,0,1.0,5.0
SCIPOP_common,1-5,46,0,0,1.0,5.0
SCIPOP_good,1-5,51,0,0,1.0,5.0
SCIPOP_influence,1-5,51,0,0,1.0,5.0
SCIPOP_involved,1-5,35,0,0,1.0,5.0
SCIPOP_lifeexp,1-5,31,0,0,1.0,5.0
SCIPOP_rely,1-5,38,0,0,1.0,5.0
SDO_allgroupsconsider,1-10,1197,0,0,1.0,10.0
SDO_equalityideal,1-10,1197,0,0,1.0,10.0
SDO_notpushequality,1-10,1214,0,0,1.0,10.0
SDO_superiordominate,1-10,1199,0,0,1.0,10.0
TRUST_METHOD,1-5,16,0,0,1.0,5.0
TRUST_PEW,1-5,33,0,0,1.0,5.0
TRUST_SCI_concerned,1-5,38,0,0,1.0,5.0
TRUST_SCI_ethical,1-5,33,0,0,1.0,5.0
TRUST_SCI_expert,1-5,30,0,0,1.0,5.0
TRUST_SCI_honest,1-5,37,0,0,1.0,5.0
TRUST_SCI_improve,1-5,37,0,0,1.0,5.0
TRUST_SCI_intellig,1-5,35,0,0,1.0,5.0
TRUST_SCI_open,1-5,39,0,0,1.0,5.0
TRUST_SCI_otherint,1-5,49,0,0,1.0,5.0
TRUST_SCI_otherviews,1-5,46,0,0,1.0,5.0
TRUST_SCI_qualified,1-5,39,0,0,1.0,5.0
TRUST_SCI_sincere,1-5,41,0,0,1.0,5.0
TRUST_SCI_trans,1-5,33,0,0,1.0,5.0
WILLVUL_gov,1-5,1468,0,0,1.0,5.0
WILLVUL_ppl,1-5,2478,0,0,1.0,5.0
WILLVUL_you,1-5,1472,0,0,1.0,5.0
